"Story","Act","Storyline_no","Storyline",,"Role","Agent",,
1,1,310,"In the same year, further amplifications of the Schweizerhof were done and Gottfried Semper, close friend of Richard Wagner, decorated its central ceiling with a painting. Further, he designed a villa for Coronel Segesser.",1863,2,"MoKaK1790","Scene:  310#   In the same year, further amplifications of the Schweizerhof were done and Gottfried Semper, close friend of Richard Wagner, decorated its central ceiling with a painting. Further, he designed a villa for Coronel Segesser.","Year:  1863  - - -  Character: MoKaK1790"
1,1,311,"Siegwart-Müller published the first volume of his autobiographical work ""Ratsherr Josef Leu von Ebersol"" in Altdorf.",1863,4,"SiMueC1800","Scene:  311#   Siegwart-Müller published the first volume of his autobiographical work ""Ratsherr Josef Leu von Ebersol"" in Altdorf.","Year:  1863  - - -  Character: SiMueC1800"
1,1,312,"21 July 1864, Katharina's guesthouse was officially registered.",1864,2,"MoKaK1790","Scene:  312#   21 July 1864, Katharina's guesthouse was officially registered.","Year:  1864  - - -  Character: MoKaK1790"
1,1,313,"Siegwart-Müller published the second volume of his autobiographical work ""Der Kampf zwischen Recht und Gewalt in der Schweizerischen Eidgenossenschaft und mein Antheil daran"" in Altorf.",1864,4,"SiMueC1800","Scene:  313#   Siegwart-Müller published the second volume of his autobiographical work ""Der Kampf zwischen Recht und Gewalt in der Schweizerischen Eidgenossenschaft und mein Antheil daran"" in Altorf.","Year:  1864  - - -  Character: SiMueC1800"
1,1,314,"Lassalle died in consequence of a duell.",1864,8,"history","Scene:  314#   Lassalle died in consequence of a duell.","Year:  1864  - - -  Character: history"
1,1,315,"In 1865, Emperor Napoleon III. stood with Emperatrice Eugénie in the Grand hotel Schweizerhof and aplaudet to the finished restauration of its salon.",1865,2,"MoKaK1790","Scene:  315#   In 1865, Emperor Napoleon III. stood with Emperatrice Eugénie in the Grand hotel Schweizerhof and aplaudet to the finished restauration of its salon.","Year:  1865  - - -  Character: MoKaK1790"
1,1,316,"In the same year, met King Ludwig II of Bavaria with Richard Wagner in the Schweizerhof, during a travel tour around Switzerland.",1865,2,"MoKaK1790","Scene:  316#   In the same year, met King Ludwig II of Bavaria with Richard Wagner in the Schweizerhof, during a travel tour around Switzerland.","Year:  1865  - - -  Character: MoKaK1790"
1,1,317,"In May 1866, debts forced the Heweghs to leave Zürich. They moved to Baden-Baden.",1866,7,"HeSiE1817","Scene:  317#   In May 1866, debts forced the Heweghs to leave Zürich. They moved to Baden-Baden.","Year:  1866  - - -  Character: HeSiE1817"
1,1,318,"Augsut 22nd, Georg Herwegh became honorary correspondent of the I. International.",1866,7,"HeSiE1817","Scene:  318#   Augsut 22nd, Georg Herwegh became honorary correspondent of the I. International.","Year:  1866  - - -  Character: HeSiE1817"
1,1,319,"And Constantin Siegwart-Müller published the third volum of his autobiographical work ""Der Sieg der Gewalt über das Recht in der Schweizerischen Eidgenossenschaft"" in Altorf.",1866,4,"SiMueC1800","Scene:  319#   And Constantin Siegwart-Müller published the third volum of his autobiographical work ""Der Sieg der Gewalt über das Recht in der Schweizerischen Eidgenossenschaft"" in Altorf.","Year:  1866  - - -  Character: SiMueC1800"
1,1,320,"24 April 1867, Herwegh's library and his valuables were sold in a public auction in Zürich. In order to make some money, Herwegh translated several Shakespear Dramas.",1867,7,"HeSiE1817","Scene:  320#   24 April 1867, Herwegh's library and his valuables were sold in a public auction in Zürich. In order to make some money, Herwegh translated several Shakespear Dramas.","Year:  1867  - - -  Character: HeSiE1817"
1,1,321,"In August, the German ""Schillerstiftung"" rejected Emma Herwegh's application for a pension for Herwegh and pays a unique reimbursement of 250 Taler.",1868,7,"HeSiE1817","Scene:  321#   In August, the German ""Schillerstiftung"" rejected Emma Herwegh's application for a pension for Herwegh and pays a unique reimbursement of 250 Taler.","Year:  1868  - - -  Character: HeSiE1817"
1,1,322,"In 1868, the Hotel National was built in Luzern.",1869,2,"MoKaK1790","Scene:  322#   In 1868, the Hotel National was built in Luzern.","Year:  1869  - - -  Character: MoKaK1790"
1,1,323,"13 January 1869, Constantin Siegwart-Müller died in Altdorf, Canton Uri.",1869,4,"SiMueC1800","Scene:  323#   13 January 1869, Constantin Siegwart-Müller died in Altdorf, Canton Uri.","Year:  1869  - - -  Character: SiMueC1800"
1,1,324,"25 November, Katharina Morel was asked to run the ""National"", but she rejecteds. She was ill of a lung infection.",1869,2,"MoKaK1790","Scene:  324#   25 November, Katharina Morel was asked to run the ""National"", but she rejecteds. She was ill of a lung infection.","Year:  1869  - - -  Character: MoKaK1790"
1,1,325,"In July 1870, began the Franco-German War. Georg Herwegh attacked Bismarck's politics of blood and iron (""Blut- und Eisen-Politik"").",1870,7,"HeSiE1817","Scene:  325#   In July 1870, began the Franco-German War. Georg Herwegh attacked Bismarck's politics of blood and iron (""Blut- und Eisen-Politik"").","Year:  1870  - - -  Character: HeSiE1817"
1,1,326,"The Grand Hotel National was opened.",1870,2,"MoKaK1790","Scene:  326#   The Grand Hotel National was opened.","Year:  1870  - - -  Character: MoKaK1790"
1,1,327,"1 Januar 1871 Wilhelm I. became German Kaiser and Herwegh accused the ""Reich der Reichen"" [the righ of the rich].",1871,7,"HeSiE1817","Scene:  327#   1 Januar 1871 Wilhelm I. became German Kaiser and Herwegh accused the ""Reich der Reichen"" [the righ of the rich].","Year:  1871  - - -  Character: HeSiE1817"
1,1,328,"7 April 1875, Georg Herwegh died of a pulmonistis.",1875,7,"HeSiE1817","Scene:  328#   7 April 1875, Georg Herwegh died of a pulmonistis.","Year:  1875  - - -  Character: HeSiE1817"
1,1,329,"2 January 1876, Meta Heusser-Schweizer died in Hirzel.",1876,1,"HeScM1797","Scene:  329#   2 January 1876, Meta Heusser-Schweizer died in Hirzel.","Year:  1876  - - -  Character: HeScM1797"
1,1,330,"7 March 1876 Katharina Morel died in Luzern at the age of 86.",1876,2,"MoKaK1790","Scene:  330#   7 March 1876 Katharina Morel died in Luzern at the age of 86.","Year:  1876  - - -  Character: MoKaK1790"
1,1,331,"1877, Emma Herwegh stayed in Stuttgart and hold friendship with Carl Mayer and Ludwig Pfau.",1877,7,"HeSiE1817","Scene:  331#   1877, Emma Herwegh stayed in Stuttgart and hold friendship with Carl Mayer and Ludwig Pfau.","Year:  1877  - - -  Character: HeSiE1817"
1,1,332,"In the same year, Georg Herwegh's poems Neue Gedichte were published postmortem helped by Ludwig Pfau but they were immediately prohibited.",1887,7,"HeSiE1817","Scene:  332#   In the same year, Georg Herwegh's poems Neue Gedichte were published postmortem helped by Ludwig Pfau but they were immediately prohibited.","Year:  1887  - - -  Character: HeSiE1817"
1,1,333,"15 June 1887, Paul Arnold Hirzel; son of Bernhard Hirzel and Elisabeth Hirzel-Tobler died.",1887,3,"HiB1807","Scene:  333#   15 June 1887, Paul Arnold Hirzel; son of Bernhard Hirzel and Elisabeth Hirzel-Tobler died.","Year:  1887  - - -  Character: HiB1807"
1,1,334,"1880, Emma Herwegh reallocation to Paris where her sons lived.",1880,7,"HeSiE1817","Scene:  334#   1880, Emma Herwegh reallocation to Paris where her sons lived.","Year:  1880  - - -  Character: HeSiE1817"
1,1,335,"April 1893, she began a frienship with Frank Wedekind in her appartment in the Latin Quarter.",1893,7,"HeSiE1817","Scene:  335#   April 1893, she began a frienship with Frank Wedekind in her appartment in the Latin Quarter.","Year:  1893  - - -  Character: HeSiE1817"
1,1,336,"In the same year, in Luzern, the steamboat berthed directly at the dock in front of the hotel Schweizerhof, so that Kaiser Wilhelm II. and his entourage could enter on the red carpet directly into the Schweizerhof, where the Confederate Council received him to a ""table d'hôte"".",1893,2,"MoKaK1790","Scene:  336#   In the same year, in Luzern, the steamboat berthed directly at the dock in front of the hotel Schweizerhof, so that Kaiser Wilhelm II. and his entourage could enter on the red carpet directly into the Schweizerhof, where the Confederate Council received him to a ""table d'hôte"".","Year:  1893  - - -  Character: MoKaK1790"
1,1,337,"1896, The magazin ""Simplicissimus"" opens with Herwegh poems. Thanks to the mediation of Wedekind the volume ""1848""  is published including Emma Herwegh's ""Geschichte der deutschen demokratischen Legion"".",1896,7,"HeSiE1817","Scene:  337#   1896, The magazin ""Simplicissimus"" opens with Herwegh poems. Thanks to the mediation of Wedekind the volume ""1848""  is published including Emma Herwegh's ""Geschichte der deutschen demokratischen Legion"".","Year:  1896  - - -  Character: HeSiE1817"
1,1,338,"1901, Horace Herwegh died in Paris.",1901,7,"HeSiE1817","Scene:  338#   1901, Horace Herwegh died in Paris.","Year:  1901  - - -  Character: HeSiE1817"
1,1,339,"24 March 1904, Emma Herwegh died in Paris. She was 87 years old.",1904,7,"HeSiE1817","Scene:  339#   24 March 1904, Emma Herwegh died in Paris. She was 87 years old.","Year:  1904  - - -  Character: HeSiE1817"
